Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2013-07-02,742553.0,140591.0,305507.0,92268.0,12093.0,25823.0,155186.0,44374.0,93255.0,38799.0,33937.0,143854.0,689777.0,658843.0,52776.0,83709.0
2013-07-09,741375.0,136500.0,300900.0,88965.0,13387.0,27346.0,150578.0,38390.0,93413.0,40452.0,31763.0,147546.0,684800.0,652745.0,56575.0,88630.0
2013-07-16,752912.0,134740.0,312704.0,87048.0,13442.0,25468.0,169209.0,44777.0,93995.0,35535.0,30363.0,151271.0,697267.0,672019.0,55645.0,80892.0
2013-07-23,770598.0,139052.0,299147.0,88429.0,11073.0,26043.0,168461.0,58819.0,94663.0,39621.0,36231.0,160852.0,717121.0,686828.0,53477.0,83771.0
2013-07-30,729592.0,154701.0,266134.0,86976.0,11916.0,25590.0,136707.0,61217.0,91931.0,37988.0,36086.0,150439.0,684331.0,643313.0,45260.0,86278.0
2013-08-06,757161.0,179904.0,251537.0,86044.0,11381.0,26401.0,119267.0,75687.0,91546.0,41341.0,39191.0,167530.0,712032.0,663273.0,45129.0,93888.0
2013-08-13,759301.0,184605.0,276140.0,84223.0,9443.0,25088.0,120681.0,73504.0,91583.0,43487.0,30684.0,162143.0,711811.0,668586.0,47490.0,90714.0
2013-08-20,800696.0,179689.0,332862.0,89555.0,15084.0,22473.0,148278.0,48290.0,90023.0,41912.0,33034.0,178561.0,750491.0,720327.0,50205.0,80369.0
2013-08-27,829919.0,175499.0,376939.0,95522.0,18476.0,23100.0,165826.0,27644.0,93240.0,39234.0,30196.0,181090.0,773511.0,750686.0,56407.0,79233.0
2013-09-03,877640.0,181515.0,405738.0,97629.0,17468.0,23705.0,181962.0,22524.0,100907.0,36259.0,29078.0,197573.0,819549.0,796992.0,58091.0,80648.0
